Kode Variabel,Label,label_english,Variable Type,Aggregation Method,aggregation,Notes
R101N,NAMA PROVINSI,Province name,,,N/A,
R102N,NAMA KABUPATEN/KOTA,Regency/city name,,,N/A,
R103N,NAMA KECAMATAN,Sub -district name,,,N/A,
R104N,NAMA DESA/KELURAHAN,Village/kelurahan name,,,N/A,
R107A,STATUS DEFINITIF DESA DAN OPERASIONAL DESA/KELURAHAN: ADA WILAYAH DESA/KELURAHAN DENGAN BATAS YANG JELAS,Village Definitive Status and Village/Kelurahan Operations: There is a village/kelurahan area with a clear boundary,village level,proportion of villages in the regency with a clear boundary ,proportion,"For calculating the village level proportions at the regency level, your denominator needs to be the total number of villages in the regency, and the nominator needs to be the number of villages in the regency with a given characteristic"
R107B,STATUS DEFINITIF DESA DAN OPERASIONAL DESA/KELURAHAN: ADA PENDUDUK YANG MENETAP DI WILAYAH DESA/KELURAHAN,Village Definitive Status and Village/Kelurahan Operations: There are residents who settled in the village/kelurahan area,village level,proportion of villages in the regency with residents who settled in the village/kelurahan area ,proportion,
R107C,STATUS DEFINITIF DESA DAN OPERASIONAL DESA/KELURAHAN: ADA PEMERINTAH DESA/KELURAHAN,Village Definitive Status and Village/Kelurahan Operations: There is a Village/Kelurahan Government,village level ,proportion of villages in the regency with residents who settled in the village/kelurahan area ,proportion,
R301,STATUS PEMERINTAHAN,Government status,village level,"This needs to be broken down into a separate category for each government status (you can create dummy variables for each). Then use proportion (i.e. Proportion of villages with government status == desa, proportion of villages with govt status == Kelurahan, etc.)",proportion,
R302A,BADAN PERMUSYAWARATAN DESA/LEMBAGA MUSYAWARAH KELURAHAN,Village Consultative Body/Village Deliberation Institution,village level,"Create dummies for each option: ""ada""/""tidak ada"". Then calculate proportion (i.e. proportion of villages in the regency with and without consultative body)",proportion,
R302B,JUMLAH KEGIATAN MUSYAWARAH DESA/KELURAHAN YANG DILAKUKAN SELAMA TAHUN 2019,The number of village/kelurahan deliberations carried out during 2019,village level ,average number of discussions per village in the regency,mean,
R303,PETA DESA/KELURAHAN YANG DITETAPKAN DALAM PERATURAN BUPATI/WALIKOTA ATAU GUBERNUR,Map of the village/kelurahan stipulated in the Regent/Mayor Regulation or Governor,village level,"Create dummies for each option: ""ada""/""tidak ada"". Then calculate proportion",proportion,
R501A1,JUMLAH KELUARGA PENGGUNA LISTRIK PLN,Number of families of PLN electricity users,household level,proportion of families in the regency with PLN electricity ,proportion,"here, you may want to create a new variable with the total number of families in each village using this information, which will be helpful to calculate the hosuehold level proportions"
R501A2,JUMLAH KELUARGA PENGGUNA LISTRIK NON PLN,Number of Non PLN Electric User Families,household level,proportion of families in the regency with non-PLN electricity ,proportion,
R501B,JUMLAH KELUARGA BUKAN PENGGUNA LISTRIK,Number of Families Non -Electric User,household level,proportion of families in the recency with no-electricity,proportion,
R502A,PENERANGAN DI JALAN UTAMA DESA/KELURAHAN,Lighting on the main road/kelurahan road,village level,"create dummy variables for each option (yes, most of them; yes, some of them; yes there isn't) then calculate the proportion of villages in the regency for each of the options ",proportion,
R502B,"JIKA ADA PENERANGAN DI JALAN UTAMA DESA/KELURAHAN (R402A BERKODE 1 ATAU 2), JENIS PENERANGAN","If there is lighting on the main road of the village/kelurahan (R402A coded 1 or 2), the type of lighting",village level,"create dummy variables for each type of lighting (i.e. provided by govt. / provided by NGOs / ""non-electric"") and then calculate the proportion of villages in the regency with each type of lighting",proportion,
R503A1,BAHAN BAKAR UNTUK MEMASAK YANG DIGUNAKAN OLEH KELUARGA: GAS KOTA,Fuel for cooking used by families: city gas,household level,proportion of families in the regency that use city gas for cooking fuel,proportion,"For calculating the proportions of household level variables at the regency level, your denominator has to be the total number of households in the regency. The nominator needs to be the total number of households in the regency that has a given characteristic. In order to do this, you wil first want to create a variable that has the total number of families in each village. "
R503A2,BAHAN BAKAR UNTUK MEMASAK YANG DIGUNAKAN OLEH KELUARGA: LPG 3 KG,Fuel for cooking used by family: LPG 3 kg,household level,proportion of families in the regency  that use LPG for cooking fuel,proportion,
R503A3,BAHAN BAKAR UNTUK MEMASAK YANG DIGUNAKAN OLEH KELUARGA: LPG LEBIH DARI 3 KG,Fuel for cooking used by the family: LPG is more than 3 kg,household level,proportion of families  in the regency that use LPG >3KG for cooking fuel,proportion,
R503A4,BAHAN BAKAR UNTUK MEMASAK YANG DIGUNAKAN OLEH KELUARGA: MINYAK TANAH,Fuel for cooking used by the family: kerosene,household level,proportion of families  in the regency that use kerosene for cooking fuel,proportion,
R503A5,BAHAN BAKAR UNTUK MEMASAK YANG DIGUNAKAN OLEH KELUARGA: KAYU BAKAR,Fuel for cooking used by the family: firewood,household level,proportion of families in the regency  that use firewood for cooking fuel,proportion,
R503A6,BAHAN BAKAR UNTUK MEMASAK YANG DIGUNAKAN OLEH KELUARGA: LAINNYA,Fuel for cooking used by the family: Others,household level,proportion of families  in the regency  that use others for cooking fuel,proportion,
R503B,BAHAN BAKAR UNTUK MEMASAK SEBAGIAN BESAR KELUARGA:,Fuel for cooking most families:,household level,create dummy variables for each option (1-6) and calculate the proportion families  in the regency that use each option the most frequently,proportion,
R504A1,"TEMPAT BUANG SAMPAH KELUARGA: TEMPAT SAMPAH, KEMUDIAN DIANGKUT","Family trash throwing place: trash can, then transported",household level,proportion of families  in the regency  that use xx for garbage disposal,proportion,
R504A2,TEMPAT BUANG SAMPAH KELUARGA: DALAM LUBANG ATAU DIBAKAR,Family garbage container: in a hole or burned,household level,proportion of families  in the regency  that use xx for garbage disposal,proportion,
R504A3,TEMPAT BUANG SAMPAH KELUARGA: SUNGAI/SALURAN IRIGASI/DANAU/LAUT,Family Garbage Place: River/Irrigation Channel/Lake/Sea,household level,proportion of families  in the regency  that use xx for garbage disposal,proportion,
R504A4,TEMPAT BUANG SAMPAH KELUARGA: DRAINASE (GOT/SELOKAN),Family garbage places: drainage (sewers/gutters),household level,proportion of families  in the regency that use xx for garbage disposal,proportion,
R504A5,TEMPAT BUANG SAMPAH KELUARGA: LAINNYA,Family Trash Place: Others,household level,proportion of families  in the regency  that use xx for garbage disposal,proportion,
R504B,TEMPAT BUANG SAMPAH SEBAGIAN BESAR KELUARGA,Place to throw garbage most of the families,household level,create dummy variables for each option (1-6) and calculate the proportion families  in the regency that use each option the most frequently,proportion,
R504C,TEMPAT PEMBUANGAN SAMPAH SEMENTARA (TPS),Temporary landfill (TPS),village level ,the proportion of villages in the regency with a temporary landfill,proportion,
R505,KEBERADAAN BANK SAMPAH DI DESA/KELURAHAN,The existence of a garbage bank in the village/kelurahan,village level,the proportion of villages in the regency with a garbage bank,proportion,
R506,"KEGIATAN PENGOLAHAN SAMPAH: PENGOLAHAN/DAUR ULANG SAMPAH/LIMBAH (REUSE, RECYCLE) SELAMA SETAHUN TERAKHIR","Waste Management Activities: Processing/Recycling of Waste/Waste (Reuse, Recycle) for the past year",village level,"the proportion of villages in the regency with each type of involvement/activity in the past year (i.e. ""some residents involved"", ""no residents involved"", ""no activitty"") ",proportion,
R507A,PENGGUNAAN FASILITAS BUANG AIR BESAR SEBAGIAN BESAR KELUARGA DI DESA/KELURAHAN,The use of defecating facilities for most families in the village/kelurahan,household level,"proportion of the families in the regency using each option (i.e. own toiled, shared toilet, public latrines, no latrines)",proportion,
R507B,TEMPAT PEMBUANGAN AKHIR TINJA SEBAGIAN BESAR KELUARGA,Final Disposal Sites Most Families,household level,proportion of families in the regency using each type of disposal site ,proportion,
R508,SUMBER AIR UNTUK MINUM SEBAGIAN BESAR KELUARGA DI DESA/KELURAHAN BERASAL DARI,Water sources for drinking most families in the village/kelurahan come from,household level,"proportion of the families in the regency using each option (i.e, different drinking water options)",proportion,
R509,SUMBER AIR UNTUK MANDI/CUCI SEBAGIAN BESAR KELUARGA BERASAL DARI,The source of water for bathing/washing most of the families comes from,household level,"proportion of the families in the regency using each option (i.e, different bathing/washing water options)",proportion,
R510,KEBERADAAN SUNGAI DI DESA/KELURAHAN,The existence of rivers in the village/kelurahan,village level,the proportion of villages in the regency with rivers,proportion,
R511,JUMLAH EMBUNG DI DESA/KELURAHAN,The number of reservoirs in the village/kelurahan,village level,Sum across villages within a regency,sum,
R512A,"KEBERADAAN PERMUKIMAN KUMUH (SANITASI LINGKUNGAN BURUK, BANGUNAN PADAT, DAN SEBAGIAN BESAR TIDAK LAYAK HUNI) DI DESA/KELURAHAN","The existence of slums (poor environmental sanitation, dense buildings, and most unfit for habitation) in the village/kelurahan",village level,Proportion of villages with slums within a regency,proportion,
R512B1,JIKA ADA PERMUKIMAN KUMUH: JUMLAH LOKASI,If there is a slum: the number of locations,village level,Count the locations,sum,
R512B2,JIKA ADA PERMUKIMAN KUMUH: JUMLAH BANGUNAN,If there is a slum: the number of buildings,village level,Count the buildings,sum,
R512B3,JIKA ADA PERMUKIMAN KUMUH: JUMLAH KELUARGA,If there is a slum: the number of families,household level,proportion of families who live in slum ,proportion,
